food,characteristic,p_values
GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS,smoke_often,3.73929305951379e-9
COOKINGFATLARD,smoke_often,3.739293059513925e-9
MILKONCEREALQUAN,smoke_often,3.7392930595139654e-9
SOMEJUICEQUAN,smoke_often,3.7392930595139654e-9
MINERALSYESORNO,smoke_often,3.7392930595139654e-9
ALLBRANORIGTYPE,Jewish,3.739293059514101e-9
GROUP_ALL_BRAN_ORIGINAL_TOTAL_GRAMS,Jewish,3.739293059514169e-9
GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS,smoke_often,9.453034002876925e-9
GROUP_ICE_CREAM_FROZEN_YOGURT_LOW_FAT_TOTAL_GRAMS,Jewish,2.865639565547153e-8
GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS,smoke_often,5.22032806907561e-8
GROUP_RAW_TOMATOES_TOTAL_GRAMS,Jewish,5.991751330145604e-8
GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS,smoke_often,6.026782116079719e-7
F18D1TN7,smoke_often,4.518211766396129e-6
SUP_ALA,smoke_rarely,8.049944472011743e-6
CHEXOTHERTYPE,smoke_rarely,8.049944472011845e-6
LIFETYPE,smoke_rarely,8.049944472011845e-6
FLAXHEMPSEEDOILTYPE,smoke_rarely,8.049944472011845e-6
GROUP_LIFE_TOTAL_GRAMS,smoke_rarely,8.049944472011845e-6
FIBERONETYPE,smoke_rarely,8.049944472011994e-6
GROUP_CHEX_OTHER_TOTAL_GRAMS,smoke_rarely,8.049944472012706e-6
GROUP_PORK_FAT_ON_TOTAL_GRAMS,smoke_often,8.803066020563806e-6
F18D3CN3,smoke_rarely,1.144642633522508e-5
GROUP_SOY_MILK_TOTAL_GRAMS,smoke_rarely,1.6158156614271966e-5
SUP_OM_6,smoke_rarely,2.1945383378395955e-5
EGGROLLQUAN,dog,2.8476184473489483e-5
F20D3N3,smoke_rarely,3.144746660688849e-5
GROUP_BAGELS_WHITE_TOTAL_GRAMS,smoke_often,3.91567384230189e-5
GROUP_HOT_DOG_BEEF_OR_PORK_TOTAL_GRAMS,smoke_often,5.44727995622099e-5
V_REDOR_TOMATO,Jewish,5.497626245019496e-5
ENERGYDRINKSQUAN,currently_smoke,6.664201448426481e-5
CAMD5,smoke_rarely,7.225522997648355e-5
LATINO,smoke_often,7.729972493479293e-5
BUTTERQUAN,smoke_often,8.132069778567743e-5
BEERQUAN,currently_smoke,1.0682433178384066e-4
GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS,quit_smoking,1.24960250276699e-4
OTHERCHIPSFREQ,mathReading,1.3861767724473474e-4
F18D2CLA,smoke_often,1.4468096634093655e-4
SODAQUAN,rash,1.7717189454132093e-4
GROUP_CHEX_OTHER_TOTAL_GRAMS,right_hand,1.9729770480173415e-4
SUP_ALA,right_hand,1.9729770480173873e-4
CHEXOTHERTYPE,right_hand,1.972977048017416e-4
LIFETYPE,right_hand,1.972977048017416e-4
FLAXHEMPSEEDOILTYPE,right_hand,1.972977048017416e-4
GROUP_LIFE_TOTAL_GRAMS,right_hand,1.9729770480174358e-4
SHELLFISHQUAN,right_hand,2.0312599063263296e-4
